,Reviews,Sentiments
10,"A disapointing book: I really have to say that I was disapointed with this book. The writing became longwinded and boring, and the story just seemed to drag on and on. Of Millett's four stories, this plot was by far the worst--the whole thing was based on the sexual preferences of two men.The other big problem I have with the Secret Alliance is that it doesn't really involve Holmes at all. The main character is clearly Shadwell Rafferty, which is not exactly what I was expecting. The long portions taken from Watson's diary were added so Millett could call it a Holmes story. The writing from Watson's diary is extremly boring and hard to read, since little of it actually involves the story.",0
11,"Dis' Cd Is Off Da Hinges!!: Yo, if you aint heard or bought dis cd yet, go out and buy it and hear it fo real! Dis cd is definitely a fine example of how tight down south rap is. ""Smoke One"" is a real tight smokin song. Spread da word! This cd is one of the best out there. Check it!",1
12,"Been using them for years, love them.: I've had these for about 4 years, used only for PC headphones and I'm glad I picked them up. They've been thrown around and been great with zero issues during that time. I bought purely based on price point and had no idea how good they were. They were roughly $30ish at the time.It was a chance buy and I struck lucky. They're as light & comfortable as others here say all day long. They provide great sound for the price. I'm sure I'd like some $100-$200 headphones, but until these fail me I can't really justify an upgrade.",1
13,"I love the bean game!: The bean game is fun for kids of all ages. As a graduate student I spent the last weekend with several other hyper-educated individuals, who all found the bean game to be captivating.What is most captivating is that really this game is about your ability to communicate and cooperate with the other players. I highly recommend this game!",1
14,"The Magic Flute: The DVD transfer of The Magic Flute is indeed magic. I have seen this wonderful film at the cinema, via television and on two VHS tapes, one PAL and one NTSC. Not until this DVD have I seen Bergman's Flute in all its glory. It is superb - and the new stereo PCM soundtrack is especially wonderful because it lets us hear, for the first time, how good these singers really are. But... There is always a but!The sound channels are transposed. They are back to front. The left is in the right and vice versa.It is such a pity to get so near to perfection and just miss the goal.",1
15,Beautiful book: I bought this book for my 10yo grandson. He loves tofix in the kitchen............he read it cover to coveras soon as he got it. So it does hold a childs intrest.He loved the illustrations and pictures.He seemed inspired to get started. I thought the directions easy to follow and there are a varietyof recipes in all catagories. Thank you.,1
16,"Good Mp3 Player!: This is very good. Sound is so good. I recommend strongly.Actually at the first time, it didn't work, so i return it,and recieve again very quickly. The new one works well.I like it.",1
17,"poor, poor: This book is embarrassing. In my opinion the Vault Career Guide to Marketing and Brand Management is a superior guide to careers in marketing. Good luck.",0
18,"great all in one unit: great unit. only real shortfall is price. easy to setup and configure. all secutity can be handled from the web interface, providing you know the mac addresses of your systems. it took me about 6 minutes to setup. i did experience a similar problem of random dropping from one of my laptops, but was able to nail that down to the card in that laptop as no other units had a problem. supporting a mixed network is great as well. the TIVO really doesnt need 54g.i would recommend this to anyone who has familiarity with wireless networks, and doesnt expect the unit to hand hold a novice through the setup.",1
19,"Good Basic Gun book: If you need just a quick and dirty ""appraisal"" of your firearms, this is the place to go. You can see in an instant if you are getting the best price for your firearms, or if someone is trying to rip you off! All of the manufacturers options are listed too, so don't believe the guy that tells you he paid extra for an option that doesn't even exist. This is a good place to start, for beginners to experts. Well laid out, easy to find info.",1
20,"Too much Jerry, not enough Cherokees: I was deeply disappointed by this book. Jerry Ellis takes himself and his so-called ""insights"" waaaay too seriously. It is hard to accept his ""link"" with his Cherokee ancestors when he had the luxury of clean beds, fresh food, and freedom of choice. It is an insult to their suffering for him to compare his journey with theirs. This book is a ""Blue Highways"" wannabe that doesn't make it.",0
21,"One star heaven? Yes for this release sure.: I would have thought New Line/WB would have learned after the last fiasco (the third release that actually included both versions and more extra's) alas they have no brains. Hard Core LOTR fans might pick this up as a collectors item. But I really have a distaste for the censored versions of the film. I'd stay far far away from this opus of a rip of. $68??? True Blood is cheaper. X_XKeep Those nice DVD massive Box sets, that and they upconvert great and usually have DTS on them.I only will figure the hard core collector will buy this. But one doesn't make money on hard core fans.",0
22,"The Make-Up Book: This book is really a must have for any and all people that wear or apply make-up. It shows you a wide array of techniques, color uses, and how NOT to waste your money on tools. If you want only one book about make-up, to learn everything, and not to spend too much, this is the book to get.",1
23,stylus: The stylus actually matches my kindle cover and is lightweight and easy to use. No more messy fingerprints on the display screen.,1
24,"Spiral slicer: I have only used the slicer on two occasions. It takes a bit of getting used to, but I picked a hard tuber, sweet potatoes for my first try. The directions could be a bit better, but i think I am going to love it. I would recommend it to anyone who is living raw or even just vegetarian. I am looking forward to using it again.",1
25,"This is not just my favorite Harry Connick Jr. album...: it's my favorite album from any artist. It's not traditional Connick, if that's what you're looking for, but if give his funk sound a chance- it's wonderful, and great fun.",1
26,"You get what you pay for: If you're looking for inexpensive binoculars, don't complain when they don't work like a $300 pair of binoculars. I got these for the sole purpose of my kids having some to play with when we go camping. For the price, they're GREAT!!! They actually see very well. Even my husband and I use them. I would strongly recommend these to anyone looking for some cheap binoculars.",1
27,"2nd Best of the Series: Don't believe the griping of some of the readers crying for an end to the series. This book advances almost all of the major plotlines, and most of the minor as well. Jordan's series has always had a concentration on how the events affect the chararacters. That is why the characters and events affect the readers. This book is a perfect match of new events and the effects on the characters that we love. This volume is also FULL of suprises. Wondering who Demondred is? Read the book? How about Orangar? It's in there! Ready for fulfillments of Prophesy, and events you thought were books away....Read on!",1
28,1 of the best of all time.: Stunning special effects and awesome martial arts sequences! A work of cenimatic art. A true must see adventure for all hardcore fans.,1
29,Excellent Read: This book is a wonderful resource and guide for my teens. They have read it and love it. I highly recommend it to those of you with children entering or already in high school!,1
30,"Science fiction for pre school children: The title of this review says exactly how I feel about this novel.The two heroes are sent in a spaceships to a nearby star to find habitable planets. They find humans there!. there is no explanation whatsoever how this has occurred, no new ideas, no antastic setting or fantastic aliens and no interesting plot. It feels like a bedtime story to be told to children. A complete waste of effort.",0
31,"Excelent!: Este producto esta perfecto, lo compre para poder usarlo con mi k550i y funciona de maravilla, es mucho mejor con el adaptador porque, por ejemplo mi laptop y otros card holders aun no traen un entrada para M2, pero si para Pro Duo, asi k no necesitas siempre conectarte con los cables del celular, es mucho mas comodo y asi puedes usar tu memoria en otros dispositivos que aun admiten Pro Duo, como otros celulares o camaras. Es un excelente Producto.",1
32,"Essentially a demo - Rosetta & Berlitz much superior: This is essentially a demo, perhaps really a ""bait and switch"" as noted in an earlier review. Be especially cautious if ""Stroll"" or ""Internet Order LLC"" or ""pimsleurapproach.com"" are involved in **any way**; read the fine print meticulously or you may end up in an involuntary subscription you don't want.I've used Rosetta for Spanish and Berlitz for Italian; they are superior, IMHO.",0
33,"Wife and I both thought this movie was boring.: Don't let the good reviews steer you into buying this movie. The bad acting, the bad plot and script and pretty much everything about this movie left us feeling like we wasted our time watching it. And we generally like most movies. I hope I can get a dollar for it at our garage sale.",0
34,typically boring: this story has the America F**K Yeah hero big man. The stereotype tough Russian (a paranoid relic from the cold war) chic side kick. the whole novel reads like the cover of national lampoons vacation DVD. The predator creatures could have been interchangeable with any easily dispatched villain. Am I supposed to believe that a hunter with 800 years of experience is that easily taken out by troglodyte with room temperate I.Q? I am sure this was written by a teenager.,0
35,"Weak and sad attempt from Collins: Let me just say I love Jackie Collins. I will always buy her novels no matter what but there is a distinct difference from the old school novels she used to write to today's Jackie Collins books. First, where is the sex? Second, it ways always fun to try and figure out who the characters were based on...Warren Beatty, J. Lo, now it just seems the characters are not really based on any celebrity figures anymore. This novel was weak with a storyline involving a family that I couldn't care less about. The villian in the story was not that compelling and I didn't care about the lovestruck couple Jett and Amy. I don't know if the other reviewers have read all of her stuff but I have and was entirely disappointed. This book took me a week to read and usually I finish her books in a day because they are so exciting. This one was tough to finish, Jackie, tough to finish.",0
36,MOTHER LOVES IT!!!!!!!!!!!!!!!!!!!!!!!!!: I bought this for my 91 year old Mother and she loves always knowing what time it is - the day of the week - the date and whether it's night or daytime. She had started calling me about 3:30 in the morning thinking it was the afternoon and she would be embarrassed. I would tell her it was fine and that I was glad she was o.k. but this clock totally stopped those calls. She had me to put up a bright yellow post-a-note by the AM light and she can always tell when it's daytime. This is a wonderful gift for your aging loved-one. Thanks Dynamic Living!,1
37,"THIS IS WHY YOU LISTEN TO MUSIC: This album is hands down the best heavy album I have heard in years. It is a symphonic blast of melodic aggression with suburb lyrics and played to precision. Killswitch Engage could only dream to be this good, (not to mention I love KE). This CD sets a new standard and reminds everyone why they listen to metal.This is of course only one man's opinion, everyone has different tastes, but in my opinion it is the best album I have ever heard!",1
38,"Interesting and representative selection: It resulted quite nice to me to listen to all this selection of songs that were very popular during 1975. Some of them are more famous pieces than the others but everyone bring to our mind lovely memories of those years inavoidably passed through...Recording process is original, the sound is really good and some melodies are particularly beautiful (""Sad sweet dreamer"", ""How long"", ""Fly, Robin fly"" or ""All by itself"", for instance) and not easy to find in CD. Very recommendable...",1
39,"Hanson Similarity: I think gameface is a _really_ good band, and I don't know if i noticed it before hearing the new Hanson, but the vocals on this album on the Gameface tracks sounds mysteriously like Taylor from everyone's favorite teen-pop-stars Hanson. But despite that frightening coincidence, it's my one of my favorite albums, and well worth the money.",1
40,"Ed Edd n Eddy: Originally bought this game when I was around 9, and lost my copy years ago while stuck on world 2. Now I am 19, bought another copy, and I still can't get past world 2! Maybe it's because I'm not a hardcore gamer, but this game is hard. It's fun because it's Ed Edd n Eddy, but this game requires a good deal of time. I recommend it though if you are an Ed Edd n Eddy fan.",1
41,Exactly what I wanted: I purchased this for a child's birthday. It arrived even faster than promised and the little girl is delighted that now she can boil eggs without worrying whether they are done or not. Great gift for a beginning cook (or an old cook).,1
42,"Never an IPOD believer..now I'm sold: I have never been a believer in the IPOD before. Always seemed to fragile and too expensive. I had a Creative Labs Zen that was sturdy...took abuse...but heavy...a bit cumbersome. I saw the Nano and immediately checked it out. Was I wrong about Apple. This Nano is amazing. I had it for less than 2 hours and put about 400 songs and more than 200 clear, sharp pictures on it. I'm sold! Also, all those folks who advise how this thing scratches, etc. I don't buy it. I've thrown this around my car, my pocket..all over the place. It shows some fingerprints, but that's about it. No scratches, no broken screens, nothing except cystal clear sound a crystal clear display. I love my IPOD Nano. Great job Apple!",1
43,"The triumph of evil: I went to see this movie because I was intrigued by the creepy creatures shown in the previews and the mystery of what had happened to the town. What I got was a sick, demonic revenge fantasy, with several scenes of disgusting and disturbing violence that I find difficult to get out of my mind. Although some of the creatures are truly unique, creepy, and well rendered, and the use of sound and music to affect mood are pretty good, everything else about the movie is just horrible. A grotesque caricature of religious fundamentalism, scenes of horrible violence, and a conclusion that offers not even the slightest shred of redemption for any of the characters, just the total triumph of evil, hatred, violence, and death. Reprehensible trash.",0
44,"Refund please!: Okay, this would have been fine if I had been in High School and it was produced by some of my buddies. However, this is not the case. It was the worse acting and writing that I've ever had the displeasure to watch. For example, they hear a loud sound and run to the top of a hill. One of the actors stands looking at the source of the sound in amazement while the other actor looks at him wondering what he's looking at...as if he couldn't see the huge OCEAN right in front of him. I guess I'm SOL in getting my money back!",0
45,"Outdated: A word of warning. . .computer graphics books age like milk, not wine. The graphics here are considerably _worse_ than what you'd get out of a consumer grade product like Metacreations Poser-- not to mention 3D Studio or Softimage.At the time this was written, it may have been useful, but you can spend your time and money more productively now.",0
46,"Stop selling this game and Don't buy this game, either.: This product and all other copies of this game title are defective and if you have purchased this title recently you will want to contact EA Games for a warranty replacement. New copies aren't being produced and the servers have been shut down, meaning there is no EA support for the game. Dealers of this product need to take it off their shelves and potential buyers need to read this review before wasting time buying it.",0
47,"Cat is the ultimate experiance: Cats has been seen in 20 some countries by over 48 millon people, even if youre not a cat person you cant help but love the music w/ Michal Grubber, Jo Gibb, Byrn Walters And Elaine Paige. The dancing and singing is spectacular!!!!",1
48,Thomas the Train: A must have with your Thomas collection. Easy to hook up with other trains and very durable.,1
49,"This is a very small kitchen set: I purchased this item for a family camping trip, however, it is so small, that it really is only good for a one person camping trip. Not worth 32.00. So think again, before purchasing it.",0
50,"Dont buy it: As soon as I opened the box I knew I wasted my money. Listen to the other reviews, not worth a dime!!!!!",0
51,Great!: Super BooK! I found here everything I needed!!! Everything! Even the most unknown radio stations!I even found a record store! It doesn't matter where you live because it has everything!,1
52,"NOT THE BOOK ADVERTISED NOT THE SCRIPT VERSION: The is ridiculous . The book advertised was the blue cover script, the one received is a red cover and not the script. I will be asking for a refund . I thought the last reviewer had given this seller a heads up notifying them of the problem but I guess the seller is not honest .",0
53,I LOVE THIS!: I love this stroller -- it has really helped me feel more confident about getting out with my twins. I also love the fact that it will fit in my Mazda Protege (something not many double strollers will do). I find it easy to fold and to carry with me. I even use it in the house so my twins can see what I am doing when I am cooking or folding clothes. It is easy to drive and very light weight.,1
54,"Not a real jelly roll pan: I would give this pan I higher rating, only it isn't really a jelly roll pan. It's just another cookie sheet. A real jelly roll pan has square straight sides, which this pan doesn't. It's the right size, but just not what I was hoping for. Plus, it had a big dent in the side when I got it. I never got to try it out baking wise because I sent it straight back to the store. I guess I should have looked at the picture closer.",0
55,"Pat Hutchins is a genius: I first fell in love with Pat Hutchins after ""reading"" her wordless book, Changes Changes. I have since purchased her other books that remain in print after nearly 30 years. I missed out on these, somehow, in my childhood, but luckily they are still around today to show my own son just how important a great book can be. Simple stories, detailed illustrations create wonderful books that will last for generations to come.",1
56,"STOP MESSING UP THE CLASSICS!!!!!!!!!!!!!: This is the WORST Disney sequel on earth!!! Instead of a FULL movie, it turned into being THREE different stories, written by Cinderella's stupid little rat-friends.I thought it was very annoying how they got sarcastic sometimes... (Like when Gus gasps in fright when he sees a can of Prunes.) Like I said: ""STOP MESSING UP THE CLASSICS!!!!!!!!!!!!! STOP MESSING UP THE CLASSICS!!!!!!!!!!!!! STOP MESSING UP THE CLASSICS!!!!!!!!!!!!!""",0
57,Happy Customer: Great movie . Dvd shows prefect . I say buy it if you love Romantic movies like this . Loving,1
58,didnt work to good for me..: I took these for a week and they didn't work for me..I went to the bathroom...but it wasn't like what I thought it was..jus a lil came out..,0
59,"Moved to tears by this book, a heirloom forever: Alice in Agony is an insperational introduction to the beauty of soap opras. This book requires an ability to read, but no other mental capabilitys. This is definatly fodder for the dog. Bronze this book, don't read it. A fine book for pressing flowers, a door stop, and a fly swatter. Theres is in no plot, no point, or any charactars, but I did like the type and the name of the publisher.",0
60,"Depressing!: I found this book super depressing and decidedly unromantic. Of course, I should have been warned with the word ""revenge"" in the book summary. For those of you who enjoy an uplifting, heart-warming, romantic story, avoid this book! This book is 390 pages long - less than 20 contain any happiness (in my opinion). I was disappointed, because it could have been a very sweet story ~ alas, it was not. If I hadn't bought it, I wouldn't even have finished it - however, I was determined to get my money's worth. Honestly, I would now pay to have this hauntingly sad, pointless tale out of my mind. I'm sure Lisa Klepas is a talented author - it is the story she choses to tell in ""Again the Magic"" that I object to.",0
61,"Good CD: I like Kenny. His songs are good, but the videos on CMT are very racy. This CD is the only one of his I own but I really enjoy it.",1
62,"Great CD as a Supplement to Oy Baby: I absolutely love the Oy Baby CD. Oy Baby 2 is also a very good CD, although not as good as the original, which is spectacular. I liked the variety of songs on Oy Baby 2 and the voices are beautiful. Most importantly, kids also enjoy them. Oy Baby 2 is a nice mix of songs sung by children and adults, music with and without words, and English and Hebrew songs. I have heard the CD mulitple times and am still not tired of it. I highly recommend buying it.",1
63,"great companion to Fountainhead: This book really helps a reader see ""the big picture"". I read it when I was about 60% of the way through the book when I grabbed the Cliff Notes. It's a good way to do it; I wouldn't have been able to grasp the overall concept of Fountainhead without it.",1
64,"Just barely fits the wide screen of an Elura 100: If you have a camera with a wide screen you may need to return this, but it just barely accommodates a Canon Elura 100. Other than that, this holds your external mike and lets you get a steadier shot. All for a few dollars.",1
65,"Great Comfy Rocker: This glider matches perfectly with the Cherry Wood crib and changing table. It is small enough to fit in a snug nursery, but big enough to be comfortable. It is virtually soundless as it glides and with the ottoman, it is a very cozy place to feed the baby and rock him to sleep. It is a great glider for the price especially!",1
66,"perfect: I am never traveling without this again. great for airports, for random hotels. works well with travel adapters, and the size is perfect.",1
67,"Although an old book still very useful: I was surprised to find in this book many of the things that appear in newer how-to knitting books eg the spiral sock that is on page 229, 230. And this not the only material that you will see that's in other books. In this book the material is in a rather condensed form. In the newer books it appears with color photographs and modernized. But still I find this a good book and especially at this price you can see where it all begun.",1
68,"IBOOM TRAVEL, NOT WORTH THE MONEY: I recently bought this unit. I was excited to try it, but I was very disappointed by the looks, it looks like a child's toy, the volume is distorted if played too loud or its not very loud at all if you lower it down. I followed the instructions, but apparently there is not much I can do, even if I play the unit at a different location to avoid interference. Overall, I am not pleased with the volume. It sounds terrible to include static. Not worth your money, find other altenatives for your IPOD.",0
69,"The Unfound Island: There was this boy, his name was Wil. He got up one morning and brushed his teeth like always. After brushing his teeth he went outside, grabbed his bike and went on a bike ride. He saw a deer in a near by field and he made a sudden movement, he went after it and lost it. Wil got back on to the dirt road. He ends up finding a pond. He found an old Johnson rowboat on the sore. He started rowing out toward the center of the pond. He found an island. That same day he went to the island, and he saw a loon, and her ducklings playing in the water.My likes and dislikes about the book The Island are, the book was good because it is an outdoors book. I chose this like, because I like being outdoors. A dislike about the book is that it was kind of boring for me I would recommend this book to people who would like to read a book about outdoors.",0
70,"Roshco Nonstick Broiler Pan: Do not buy this product. Not only did it warp the first time I used in, it was very difficult to clean. We used it to cook a London Broil. Both top and bottom warped and the meat almost fell off. After we ate, the pan settled back into its original shape but hard to clean. This is not good for a broiler pan and definitely not good for a non-stick product. Buyer beware!",0
71,Classic futuristic story: I love reading about our future and considering how close we are to actually picking the genetics of our children makes this book even that more engaging!,1
72,"GBA: I must say I was somewhat disappointed in the GBA. The graphics are outstanding, but there is still no backlight, which makes it difficult to see. I have a qorm light, but it's annoying and only lights the ceter of the screen. By not backlighting, Nintendo is increasing battery life, but I don't think that is nearly as important as game play.My other complaint is game selection. So far I have only played two games worth buying, although I own four. One is Tony Hawk Two, and the other is Mario Kart: Super Circuit. Both are outstanding games one can play for hours, and are the reasons of my four star rating. Other than these, however, there are very little.Overall, I would recommend this if you travel a lot or want something to play when not at home, but otherwise just buy a console. I recommend Xbox, but gamecube would be better for younger gamers, as are all nintendo products.",1
73,"Keeps me moving: I have used a wrist heart monitor in the past, that required me to push and hold two buttons while I was checking. There was no ongoing alarm so I often would slow down to check the rate only to find I was far below my top rate. I am an active 70 year old woman who wants to keep going as long as I can so I am training for a walking marathon. The Timex was ease. Just sent the ranges, put on the monitor and watch.. and go for it. I wear the watch all the time to help me with my time management via the chronometer and timer. Great price for lots of service.",1
74,Wonderful: I bought it used and it looks brand new. I was originally concerned the book wouldn't come before my exam but shipping was relatively fast and efficient. I would buy from this Amazon Seller again.,1
75,battery backup time: i needed a battery back up just in case if i am unable to plug in my wall charger. i tested this unit several times after fully charging the back up unit and it will charge my cell phone for 20 minutes and then it will run out of energy.the price dropped dramatically here on amazon so i am guessing it is being discontinued or it is on clearance.i am going to look for another back up unit,0
76,Great Multi-purpose product: I love this rice cooker/steamer. The non-stick surface makes clean-up a breeze. It is compact and efficient.,1
77,"Have to use jeweler: Others I bought had a clasp you could hook yourself. With these, you would need to get jeweler or someone to install. Not very user friendly. Keep looking.",0
78,"Quality of the book: This is not a review of the HG Wells stories which are obviously 2 of the finest works of Science Fiction ever. This is a review regarding the quality of the book itself. I bought this combo-book for my son to introduce him to the works of HG Wells, however he could barely get past the first few pages because the print is so small it is impossible to read. The clarity of the printing and the sharpness of each letter of each word is horrible. The words are blurry, the letters are at times indistinguishable from each other. By all means read the Wells books, but I suggest not trying to save a couple of dollars by buying this version. Search for a better quality book.",0
79,"Do not buy - breaks first day: This thing broke the first day. After testing it once, taking it out, putting it back in, and playing again, it only plays on half the speakers in my japanese car. It's only 9 bucks, so not really worth returning. It's crap.",0
80,"Yep, it's really greasy: I read the reviews about this product here and elsewhere on Amazon and noted how some said it left their faces greasy. But since my skin was so dry and it was the dark of winter, I was sure it wouldn't be too much. Yep, it's greasy alright. And it makes my late 40s face break out. Nothing like having an adolescent sheen of grease and two huge zits on your chin to look younger. But that wasn't what I was hoping for when I wanted a product to restore youthfulness! I've used Dermalogica, Cellex-C, Obagi and other leading cosmetic lines, but Murad products definitely lead the way in leaving your face slightly waxy. I have the night products kit, too, with the cleanser, toner, age-diffusing serum, and night cream and I wake up with a sheen, too. But I can deal with it at night.",0
81,"Cheers for 165: Didn't see much of original series but this one is a great view of British aristocracy in the 30's. Beautiful to look at, beautifully acted. I wish it would go on and on.",1
82,"Real Deal Fun: It plays like real table tennis and has realistic everything about it. Ball action is just as you'd expect from a real game of table tennis. Love the characteristics of each individual player, the different venues are cool and how the players react and sweat etc. Definitely recommend this one for the whole family, something you can't do for alot of games.",1
83,"Get the 'Hook Up': This new CD from the Mighty Clouds of Joy is a joyful album that is welcome in these times. The first track, ""Hook Up"", sets the tone of most of the album with punchy horns and swirling organ. ""I Want to Thank You"" and ""Jesus Made a Way"" are more jubilant songs of praise. The Mighty Clouds bring the tempo down on ""God Can"" and ""He Didn't Bring Me This Far"", which are beautiful in a traditional style. A few tracks like ""Seeking the Fire"" have contemporary R&B beats, keyboards, and backing vocals. The mix of traditional gospel and modern R&B sounds on this record keep the music interesting, and the lyrics are always uplifting. ""Right Here Waiting"", a duet with Dottie Peoples, and ""He Didn't Bring Me This Far"" are the most comforting songs to me, and will keep you going in trying times.",1
84,"Perfect!: I'm extremely pleased with this omni bounce! It not only fits the EX 580II perfectly, it fits my teriffic YN560 YONGNUO Speedlite, like a glove! No slipage, No hassles, fast delivery, I love it! Works like the champ that it is!",1
85,"Nice try Dlink: Can't beat the price of a wireless router/switch and print server all in one.However the product has some real ""inconvenient"" bugs:* I have never been able to make WEP work with my Lucent wireless card* The router needs to be rebooted in average once a day, suddenly the wireless network stops working and even the wireless button on the admin interface seems to be gone* The router won't sync by itself with the time server, needs to be done manually with every reboot.If you don't need the extra speed, I would recommend going for the 713p. It has been at least 3 months since the last time I had to reset that one.",0
86,"A legendary man, but a trivial book: Without a doubt one of the most poorly written books that I have every read. The author normally writes newspaper articles and it's obvious. Each chapter is written like a short article off the main page which results in a shallow read. There is no transition between chapters and much of the information in one chapter is repeated in subsequent chapters. It takes talent to make such a fascinating life such an incredible bore.",0
87,"It's all been said: I won't waste anyone's time by restating what's wrong with this book, but I want to go on record as saying this is probably the biggest waste of time I have ever spent reading a book.",0
88,"ok product, good customer service: received the item fast, there was a little damage on the plastic and they shipped a new one out right away. installed fine and does just what the description says. not for outside, but good for inside or protected outside areas.",1
89,"RoadPro 12V hair dryer: I ordered this hair dryer for camping. The hair dryer did not have enough air to even move my hair. It blew very little cool air, did not even get warm. I can't imagine that it would even defrost a windshield any faster than the car's defroster. Very upsetting because there isn't another portable dryer on the market. The only other thing available is a rechargeable hair dryer that costs about $179.00. I gave it one star because it would not let me rate it with nothing.",0
90,"Turtle: He's a little smaller than what I thought , but I love it because it will always remind me of our trip to Maui where we all swam in the surf where therewere oodles of turtles.",1
91,"Repuslive and elegant: It is hard to avoid acknowledging the intelligence behind this work but it is equally hard to understand the point. The author dislikes his characters and his city, focusing on ugliness, squalor, stench, and scat. There is a lot of shocking and unpleasant material often told in a highly imaginative and creative fashion. The writing is erudite, complex, and sophisticated but also full of hatred for the characters. I could not find any psychological realism or meaningful plots but did find vivid, pungent, toilet imagery.",0
92,"D - I - S - A - S - T - E - R !!!!!: Awful, awful awful!...another disaster of a band! Songs like ""I Drive Myself Crazy"", and ""God Spent A Little More Time On You"" are definitely geared at the young pre-pubescent girl who has no idea what pop music is about. AWFUL!",0
93,"Still waiting for an ""Collector's Edition"": This is C&C's funniest film ever. ""Up In Smoke"" is really good and establishes the duo's place in the cinema, but 'Next Movie' is just plain awesome.I was planning to buy this dvd, and still intend to do so, but was a little disappointed that they did not include any footage of the deleted or alternate scenes. Those of you who saw the 'diamonds version' on comedy central years ago know what I mean. There were some extra or extended made-for-tv scenes that really filled the movie out nicely...not like this is an epic picture like Gone With The Wind, War and Peace or Willy Wonka and the Chocolate Factory.Still in all, this one is a purchase.",1
94,"Not quite the book, but still good...: Yeah well, for those of you, like me, who read the book, there's not much to add. This is NOT as good, as epic, as mind-twisting as Anne Rice's novel.But still, past this obvious and expected dissappointment, I still believe it's quite entertaining, and better than Interview. On another note, the soundtrack really kicks ...and very much in line with the scenes I had pictured when reading the book.Nothing about the twins, nothing about Pandora and nothing about quite a few other characters. But again, take this movie for what it is: a fair adaptation of an incredible book.Oh, and even though I've never been a fan of Aaliyah's music, I must admit she could have been a promising young actress... a shame really...",1
95,"Great for young dino lovers: We got this CD for Christmas and our children (ages 3 & 4) absolutely love it. We knew our son would, he loves all things dinosaur, but even our daughter begs to listen to this, and she is not a dino fan. The songs are catchy, the tunes make the words easy to remember, it is educational. To me, the CD seemed a bit annoying to listen to at first, and I actually like Disney music. But after listening to it several dozen times in the last few weeks, it is starting to grow on me. It does not fade into the background like some other children's music so we have to limit how many times we play it in a row or it could drive us crazy. But overall- this is a great CD to give to any dino lover, they will love it.",1
